PRIMARY_KEY,doc_id,date,classe,sentence,label
EL137_L_1981_06_091_03_1_PF_09_0,EL137_L_1981_06_091_03_1_PF_09,1981,legislatives,"Sciences Po / fonds CEVIPOF REPUBLIQUE FRANÇAISE Elections législatives des 14 et 21 Juin 1981 3e Circonscription de l'Essonne (1 er tour scrutin) RASSEMBLEMENT POUR LA REPUBLIQUE Uunion pour une Nouvelle Majorité Roger TAGAND le candidat d'Union pour une Nouvelle Majorité suppléante Chantal PLANSON 34 ans mariée mère de trois enfants 37 ans, marié, deux enfants.",autre
EL137_L_1981_06_091_03_1_PF_09_1,EL137_L_1981_06_091_03_1_PF_09,1981,legislatives,"Docteur en droit et diplômé de Sciences Politiques juriste d'entreprise et chargé d'enseignement à l'Université de Paris.Sciences Po / fonds CEVIPOF Madame, Mademoiselle, Monsieur, Les Français ont voulu le changement, mais quel changement ?",autre
EL137_L_1981_06_091_03_1_PF_09_2,EL137_L_1981_06_091_03_1_PF_09,1981,legislatives,Est-ce un bouleverse- ment total de notre société comme le proposent le projet du Parti Socialiste et le programme du Parti Communiste ?,langue_de_bois
EL137_L_1981_06_091_03_1_PF_09_3,EL137_L_1981_06_091_03_1_PF_09,1981,legislatives,"Est-ce un changement de politique comme Jacques Chirac l'a proposé durant des semaines, changement de politique orienté vers plus de liberté pour l'économie, plus de justice et plus d'indépendance pour la France ?",langue_de_bois
EL137_L_1981_06_091_03_1_PF_09_4,EL137_L_1981_06_091_03_1_PF_09,1981,legislatives,"Les Français souhaitent-ils que ce changement s'effectue dans la stabilité politique, dans le respect de la diversité française ou qu'il conduise à une situation pleine d'incertitude et de risques ?",langue_de_bois
EL137_L_1981_06_091_03_1_PF_09_5,EL137_L_1981_06_091_03_1_PF_09,1981,legislatives,Tel est l'enjeu de la campagne législative.,langue_de_bois
EL137_L_1981_06_091_03_1_PF_09_6,EL137_L_1981_06_091_03_1_PF_09,1981,legislatives,Il ne s'agit pas du troisième tour de l'élection présidentielle.,langue_de_bois
EL137_L_1981_06_091_03_1_PF_09_7,EL137_L_1981_06_091_03_1_PF_09,1981,legislatives,Le Président de la République a été élu et doit exercer ses prérogatives comme le prévoit la constitution.,non_langue_de_bois
EL137_L_1981_06_091_03_1_PF_09_8,EL137_L_1981_06_091_03_1_PF_09,1981,legislatives,"Mais l'Assemblée nationale avec toutes les attributions que lui confère également la constitution devra, elle aussi, être en mesure d'exercer ses pouvoirs d'initiative et de contrôle sur le gouvernement afin que soient préservés les principes de liberté, de progrès, de justice et d'indépendance qui sont ceux que nous défendons.",autre
EL137_L_1981_06_091_03_1_PF_09_9,EL137_L_1981_06_091_03_1_PF_09,1981,legislatives,Il faut donc pour cela constituer un contre-poids au débordement des extrêmes qu'entrainerait un chèque en blanc donné à une majorité de députés socialistes et communistes.,non_langue_de_bois
EL137_L_1981_06_091_03_1_PF_09_10,EL137_L_1981_06_091_03_1_PF_09,1981,legislatives,"C'est dans cet esprit et avec cette ferme volonté que je me présente à vos suffrages dans notre circonscription où j'avais mené le combat pour la liberté en 1978 et obtenu, grâce au soutien de beaucoup d'entre vous, 47 % des voix contre Pierre JUQUIN.",non_langue_de_bois
EL137_L_1981_06_091_03_1_PF_09_11,EL137_L_1981_06_091_03_1_PF_09,1981,legislatives,"L'enjeu est actuellement encore plus décisif et il faut faire tout ce qui est en notre pou- voir pour que la France ne s'engage pas, les yeux fermés, dans l'aventure.",langue_de_bois
EL137_L_1981_06_091_03_1_PF_09_12,EL137_L_1981_06_091_03_1_PF_09,1981,legislatives,"Actuellement on cherche uniquement à nous rassurer ; le gouvernement de transition se garde bien de faire connaître sa vraie politique et de dire s'il amènera demain, immédiate- ment après les élections les communistes au pouvoir.",langue_de_bois
EL137_L_1981_06_091_03_1_PF_09_13,EL137_L_1981_06_091_03_1_PF_09,1981,legislatives,Vous ne pouvez fermer les yeux ; tout indique que les socialistes s'apprêtent à gouver- ner pendant cinq ans au moins avec les communistes et cela n'est pas acceptable !,langue_de_bois
